experiment_accession	Attribute	Value
GSE11121	refinebio_disease_stage.Min	1
GSE11121	refinebio_disease_stage.Mean	2.03
GSE11121	refinebio_disease_stage.Max	3
GSE11121	e_dmfs.Min	0
GSE11121	e_dmfs.Mean	0.23
GSE11121	e_dmfs.Max	1
GSE11121	grade.Min	1
GSE11121	grade.Mean	2.03
GSE11121	grade.Max	3
GSE11121	node.Min	0
GSE11121	node.Mean	0
GSE11121	node.Max	0
GSE11121	size_in_cm.Min	0.1
GSE11121	size_in_cm.Mean	2.0695
GSE11121	size_in_cm.Max	6
GSE11121	t_dmfs.Min	1
GSE11121	t_dmfs.Mean	93.865
GSE11121	t_dmfs.Max	240
GSE7390	refinebio_age.Min	24
GSE7390	refinebio_age.Mean	46.431472081218274
GSE7390	refinebio_age.Max	60
GSE7390	aol_os_10y.Min	59.9
GSE7390	aol_os_10y.Mean	79.93248730964467
GSE7390	aol_os_10y.Max	96.5
GSE7390	angioinv.Min	NA
GSE7390	angioinv.Mean	NA
GSE7390	angioinv.Max	NA
GSE7390	histtype.Min	NA
GSE7390	histtype.Mean	NA
GSE7390	histtype.Max	NA
GSE7390	lymp_infil.Min	NA
GSE7390	lymp_infil.Mean	NA
GSE7390	lymp_infil.Max	NA
GSE7390	npi.Min	NA
GSE7390	npi.Mean	NA
GSE7390	npi.Max	NA
GSE7390	surgery_type.Min	0
GSE7390	surgery_type.Mean	0.28426395939086296
GSE7390	surgery_type.Max	1
GSE7390	e_dmfs.Min	0
GSE7390	e_dmfs.Mean	0.3147208121827411
GSE7390	e_dmfs.Max	1
GSE7390	e_os.Min	0
GSE7390	e_os.Mean	0.28426395939086296
GSE7390	e_os.Max	1
GSE7390	e_rfs.Min	0
GSE7390	e_rfs.Mean	0.45685279187817257
GSE7390	e_rfs.Max	1
GSE7390	e_tdm.Min	0
GSE7390	e_tdm.Mean	0.25888324873096447
GSE7390	e_tdm.Max	1
GSE7390	grade.Min	NA
GSE7390	grade.Mean	NA
GSE7390	grade.Max	NA
GSE7390	node.Min	0
GSE7390	node.Mean	0
GSE7390	node.Max	0
GSE7390	risk_aol.Min	0
GSE7390	risk_aol.Mean	0.766497461928934
GSE7390	risk_aol.Max	1
GSE7390	risknpi.Min	NA
GSE7390	risknpi.Mean	NA
GSE7390	risknpi.Max	NA
GSE7390	risksg.Min	NA
GSE7390	risksg.Mean	NA
GSE7390	risksg.Max	NA
GSE7390	size.Min	0.6
GSE7390	size.Mean	2.1847715736040607
GSE7390	size.Max	5
GSE7390	t_dmfs.Min	125
GSE7390	t_dmfs.Mean	3954.604060913706
GSE7390	t_dmfs.Max	9108
GSE7390	t_os.Min	146
GSE7390	t_os.Mean	4151.096446700508
GSE7390	t_os.Max	9108
GSE7390	t_rfs.Min	121
GSE7390	t_rfs.Mean	3403.431472081218
GSE7390	t_rfs.Max	8711
GSE7390	t_tdm.Min	125
GSE7390	t_tdm.Mean	3954.604060913706
GSE7390	t_tdm.Max	9108
GSE19697	refinebio_disease_stage.Min	2
GSE19697	refinebio_disease_stage.Mean	2.909090909090909
GSE19697	refinebio_disease_stage.Max	3
GSE19697	grade.Min	2
GSE19697	grade.Mean	2.909090909090909
GSE19697	grade.Max	3
